,taus,b80,b90,b00,b80_bis,b90_bis,b00_bis,ub80_p,ub90_p,ub00_p,ub80_p_bis,ub90_p_bis,ub00_p_bis,ub80_m,ub90_m,ub00_m,ub80_m_bis,ub90_m_bis,ub00_m_bis
0,0.1,7.345519869220585,11.154656888296088,9.090832419453365,-0.7196183969452354,-0.7969391141792519,-0.8142148359013497,7.968326746232335,11.978704296192648,9.767155922015377,0.7960394577664158,0.5729409495871478,0.6333428699428223,6.722712992208835,10.330609480399529,8.414508916891354,-2.2352762516568867,-2.1668191779456514,-2.261772541745522
1,0.15,7.273925739662827,11.1571936462471,9.870408083292226,-0.5495583441444527,-0.6145756971513832,-0.6452220162328617,7.6681617340461345,11.67851742379916,10.340827407222717,0.18591426817409784,0.46837034651758946,0.4604746227282779,6.87968974527952,10.635869868695039,9.399988759361735,-1.2850309564630034,-1.6975217408203558,-1.7509186551940012
2,0.2,7.5026749945896976,11.06172989259414,10.046956421179253,-0.4348858856706874,-0.4915123497684073,-0.5205351577305528,7.912202445856204,11.450377973544759,10.513927286919186,0.5844624057770798,0.2581153265093634,0.4206048264017639,7.093147543323191,10.673081811643522,9.57998555543932,-1.4542341771184546,-1.241140026046178,-1.4616751418628695
3,0.25,7.347890028838933,10.958020346593988,10.335949010423096,-0.3402507321030015,-0.3938947137277875,-0.4173471034511662,7.706258010919575,11.321471247034749,10.79271942695252,0.37021650214994106,0.25167953500874884,0.44961412956147107,6.989522046758291,10.594569446153228,9.879178593893673,-1.050717966355944,-1.0394689624643239,-1.2843083364638035
4,0.3,7.086785119836009,10.79253958720267,10.154482251198537,-0.2716130137612893,-0.31253888080632386,-0.34217772593868734,7.430396351127175,11.147533280940676,10.565999351839013,0.40658281508411775,0.3503865293454981,0.48689334849544164,6.743173888544842,10.437545893464664,9.742965150558062,-0.9498088426066964,-0.9754642909581458,-1.1712488003728163
5,0.35,7.045443255019351,10.661627323179212,10.389604674571496,-0.20700208216359606,-0.24092431781765633,-0.26851103779234364,7.388110193074551,10.998431863475085,10.72504173647401,0.45835048630096276,0.3748967916085334,0.4150114411727074,6.702776316964151,10.32482278288334,10.054167612668982,-0.8723546506281549,-0.8567454272438461,-0.9520335167573947
6,0.4,6.869671724977186,10.713655394803734,10.76005643354147,-0.14876400010631574,-0.17390754208691028,-0.19378273528908796,7.171101534015123,11.015066233905914,11.053505533832958,0.4489067804159521,0.3950501576407506,0.41743794126267375,6.568241915939249,10.412244555701553,10.466607333249982,-0.7464347806285836,-0.7428652418145711,-0.8050034118408497
7,0.45,6.886284295240763,10.602492460127333,10.728219088797655,-0.09567374309195475,-0.11145283226601954,-0.12816213337154547,7.210114505484663,10.911253025634412,11.088427649552084,0.5306244344285265,0.4235977010824049,0.5561564273240405,6.562454084996864,10.293731894620255,10.368010528043225,-0.721971920612436,-0.646503365614444,-0.8124806940671314
8,0.5,6.832201724839951,10.615064731212076,11.102188634343394,-0.04742747291110838,-0.05453043458709228,-0.06845616638095642,7.119802267867676,10.916143080712303,11.470344685215844,0.48872242358493057,0.49397549340876146,0.5311759650743542,6.544601181812227,10.31398638171185,10.734032583470944,-0.5835773694071473,-0.603036362582946,-0.668088297836267
9,0.55,6.925531307584665,10.652434126613372,11.151054976356015,0.0,0.0,0.0,7.224959905059289,10.937372977908867,11.461967454893253,0.5859116575021875,0.515750487338666,0.6314916639469875,6.6261027101100405,10.367495275317877,10.840142497818777,-0.5859116575021875,-0.515750487338666,-0.6314916639469875
10,0.6,6.896834438093563,10.594929243275438,11.501078852691183,0.05057875682512858,0.055805982648007735,0.05560190701190937,7.197030264087686,10.912643420285681,11.806513662370623,0.6224118078367361,0.5805779328399129,0.6557482227317654,6.596638612099441,10.277215066265194,11.195644043011743,-0.521254294186479,-0.4689659675438974,-0.5445444087079466
11,0.65,6.944560367369812,10.640306897919128,11.802021707004318,0.10119013614911943,0.11386065385517075,0.13121598491284736,7.234003130082207,10.97305843920646,12.139972176324287,0.7006369624933415,0.6556455325484646,0.7295580255692039,6.655117604657417,10.307555356631797,11.46407123768435,-0.49825669019510266,-0.4279242248381231,-0.4671260557435092
12,0.7,6.928486902385789,10.789893873555146,12.056032457426054,0.1558867430147659,0.175050123990518,0.1929479763390045,7.237659426671167,11.153268523411898,12.394627669042812,0.734717747871548,0.717078657681316,0.8367020585719699,6.619314378100411,10.426519223698394,11.717437245809297,-0.42294426184201617,-0.36697840970027995,-0.45080610589396086
13,0.75,7.013602180081105,11.080764432141343,12.150699252268332,0.21128093609207355,0.24146021509923887,0.2688909119976941,7.321232204849921,11.509300772269205,12.566037253012803,0.8122947512108005,0.845366937779529,0.9007018560371198,6.705972155312289,10.652228092013482,11.73536125152386,-0.38973287902665343,-0.36244650758105124,-0.3629200320417316
14,0.8,7.142795329326357,11.66571778981098,12.889628122257434,0.27544764965030133,0.32321400454200244,0.35807233158194407,7.495662843178255,12.041910600863924,13.34614954388562,0.9305669120923449,0.964949534790894,1.1597803589701523,6.789927815474459,11.289524978758037,12.43310670062925,-0.3796716127917422,-0.3185215257068891,-0.4436356958062643
15,0.85,7.3513479472882945,12.357826301560326,13.618119863488698,0.35982268821754904,0.41992693801702696,0.46858118498276724,7.779150195849509,12.828095792526348,14.014916758921471,1.2073582322085459,1.1460690397135855,1.337570795437601,6.9235456987270805,11.887556810594305,13.221322968055924,-0.4877128557734478,-0.3062151636795316,-0.4004084254720667
16,0.9,7.9074006063760915,13.693380143239814,15.492638945563735,0.46941165646182803,0.5522467268042357,0.6303532571398902,8.353903264148274,14.45644739303094,16.16422775876669,1.448327770263749,1.6631770707463664,2.1060920933900245,7.460897948603909,12.930312893448688,14.821050132360782,-0.5095044573400929,-0.558683617137895,-0.845385579110244
